,maxDrawDown,averagePLDay,cumulativePL
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=48,7417289.3830150030553340911865234375,1748.658652140860112922382541000843048095703125,12085385.9413182735443115234375
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=41,13675294.2382909990847110748291015625,3574.20178312952839405625127255916595458984375,24737676.2842514403164386749267578125
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=20,36431795.30381850898265838623046875,7019.51416440584580413997173309326171875,48174893.931505382061004638671875
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=41,10786864.7622267492115497589111328125,3792.77657355183828258304856717586517333984375,26333080.1929291076958179473876953125
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=34,21880247.76897199451923370361328125,3537.553119728961974033154547214508056640625,24415905.4655979089438915252685546875
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=48,6122472.76307200081646442413330078125,1308.6847213561486569233238697052001953125,9037624.4920184500515460968017578125
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=20,47270158.029700756072998046875,7783.6291222324261980247683823108673095703125,53518919.96873748302459716796875
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=27,27879176.9691687487065792083740234375,12713.047376621381772565655410289764404296875,87403824.5380822718143463134765625
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=34,33154780.0117860138416290283203125,5928.12981889718867023475468158721923828125,40339942.5646220743656158447265625
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=48,4481303.6569029986858367919921875,701.5601570671282161129056476056575775146484375,4952984.393031205050647258758544921875
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=27,17089211.993880502879619598388671875,6544.7433607910343198454938828945159912109375,45170508.796007417142391204833984375
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=34,16742716.69107149355113506317138671875,2329.674754763602322782389819622039794921875,16149538.90037846006453037261962890625
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=20,14149509.90566849149763584136962890625,2008.541996205319946966483257710933685302734375,13962493.024949736893177032470703125
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=41,3729964.6110462509095668792724609375,719.1504134132120498179574497044086456298828125,5115227.77734134532511234283447265625
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=48,2012077.0577715006656944751739501953125,338.1498006978978310144157148897647857666015625,2511602.6724469005130231380462646484375
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=27,33226383.1455824933946132659912109375,7323.8355262030627272906713187694549560546875,50103542.99615408480167388916015625
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=41,10096137.30402249656617641448974609375,1349.7863393005563921178691089153289794921875,9351717.94230306334793567657470703125
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=34,17358091.552964501082897186279296875,6458.6403006049631585483439266681671142578125,44662106.867496646940708160400390625
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=27,47270158.029700756072998046875,10422.939532038639299571514129638671875,71822965.3336122334003448486328125
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=20,43530057.4528999626636505126953125,24578.05302281110562034882605075836181640625,167967001.2395775616168975830078125
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=48,7468768.942017249763011932373046875,2048.5064561622193650691770017147064208984375,14284903.3885973133146762847900390625
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=27,23103894.3649637512862682342529296875,4880.050915209989398135803639888763427734375,33904025.1574181616306304931640625
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=41,15568411.046746246516704559326171875,3503.48034218400198369636200368404388427734375,23897474.0983257032930850982666015625
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=27,36442340.6798525154590606689453125,9478.46935684246636810712516307830810546875,65470670.877400375902652740478515625
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=20,13007409.463199995458126068115234375,7098.1277385504445192054845392704010009765625,49204929.439878650009632110595703125
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=34,6625445.650613002479076385498046875,2001.928074750916493940167129039764404296875,13905913.35767036117613315582275390625
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=48,4255463.799473249353468418121337890625,494.62033535025051378397620283067226409912109375,3546950.63230749033391475677490234375
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=41,7396349.901560748927295207977294921875,736.73684469607178471051156520843505859375,5191060.552869525738060474395751953125
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=41,10601232.0842669941484928131103515625,3080.34522749016423404100351035594940185546875,21400363.9452992714941501617431640625
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=27,16697794.26846825145184993743896484375,7087.5039009499059829977340996265411376953125,49004696.1630894839763641357421875
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=27,25317381.086505256593227386474609375,10038.863515629947869456373155117034912109375,68783447.3547343313694000244140625
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=20,13462294.85495549626648426055908203125,2353.12679537760914172395132482051849365234375,16346881.02011136151850223541259765625
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=34,14279994.0659927465021610260009765625,3389.36120511342642203089781105518341064453125,23441315.2924974076449871063232421875
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=48,3630894.080166502855718135833740234375,1069.976096933016606271849013864994049072265625,7513266.396499802358448505401611328125
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=41,4961100.7946922481060028076171875,1695.915867053773808947880752384662628173828125,11808130.599988460540771484375
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=20,26508080.6340107806026935577392578125,15244.00219754998761345632374286651611328125,104535757.86198709905147552490234375
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=34,17284552.8015965037047863006591796875,6119.9287303902628991636447608470916748046875,42352782.204917252063751220703125
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=48,7653891.322911499999463558197021484375,1813.94484636503648289362899959087371826171875,12704617.00143425352871417999267578125
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=34,7906084.091875500977039337158203125,1998.4215883440847392193973064422607421875,13812341.91276132129132747650146484375
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=20,15619828.3338999934494495391845703125,10874.694981210037440177984535694122314453125,75092366.18293522298336029052734375
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=41,5803086.33297325111925601959228515625,829.6972319650109284339123405516147613525390625,5840937.3853650353848934173583984375
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=48,3655985.6259227511473000049591064453125,482.3483945229341998128802515566349029541015625,3472544.4065617793239653110504150390625
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=27,14154458.04128024168312549591064453125,2359.55652014915585823473520576953887939453125,16502892.8792157433927059173583984375
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=48,4919278.19390500150620937347412109375,1196.2734762531717933597974479198455810546875,8465119.00527326762676239013671875
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=27,16937646.5066740028560161590576171875,4460.5848112552121165208518505096435546875,30946798.332656204700469970703125
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=34,11745205.0860570035874843597412109375,3941.04308311462909841793589293956756591796875,27321574.84649865329265594482421875
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=41,4756494.0578044988214969635009765625,568.8471230841763599528349004685878753662109375,4065946.8259965195320546627044677734375
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=20,7313726.2123467512428760528564453125,1752.81120690763418679125607013702392578125,12244603.32736661471426486968994140625
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=48,7537356.9976615011692047119140625,953.26152512556973306345753371715545654296875,6640950.39419708214700222015380859375
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=41,13831668.2237595058977603912353515625,1557.466467763901391663239337503910064697265625,10727196.254352532327175140380859375
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=48,7825363.101613502018153667449951171875,1015.903685612611525357351638376712799072265625,7043985.198779585771262645721435546875
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=20,20375824.697400011122226715087890625,11342.266761893095463165082037448883056640625,78201741.12945242226123809814453125
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=41,15899389.218822501599788665771484375,1634.91946789184657973237335681915283203125,11218722.38724097795784473419189453125
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=34,27335470.2030032463371753692626953125,13988.29192038459950708784162998199462890625,96045114.90543027222156524658203125
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=27,7305783.27724175155162811279296875,1964.196264162206944092758931219577789306640625,13782931.1649423651397228240966796875
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=27,11256563.2231999933719635009765625,5217.9454155014618663699366152286529541015625,36142633.93559564650058746337890625
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=48,2547361.8815460014156997203826904296875,360.61098071693828615025267936289310455322265625,2645418.164379135705530643463134765625
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=20,16938114.25158250331878662109375,3038.59112032135135450516827404499053955078125,21041954.142811454832553863525390625
strategy.optPutToSellDelta=-0.15000000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=34,13284853.34838449954986572265625,2137.64117980814216934959404170513153076171875,14841482.75588774122297763824462890625
strategy.optPutToSellDelta=-0.125_strategy.optPutToBuyDelta=-0.029999999999999995_strategy.optimalDTE=41,5890603.59485174901783466339111328125,2633.3954971590401328285224735736846923828125,18362667.952380903065204620361328125
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=34,45897688.05558325350284576416015625,6120.1096202911603540997020900249481201171875,42050070.086261250078678131103515625
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=41,22209051.78809225559234619140625,6610.110379165236736298538744449615478515625,45093722.30246923863887786865234375
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=20,33099627.6417232453823089599609375,13483.831838229742061230354011058807373046875,92998244.88686732947826385498046875
strategy.optPutToSellDelta=-0.2_strategy.optPutToBuyDelta=-0.049999999999999996_strategy.optimalDTE=48,9953877.6774365007877349853515625,2154.3335694979805339244194328784942626953125,15115446.408793978393077850341796875
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.09_strategy.optimalDTE=34,35796226.08367426693439483642578125,4436.073523055840269080363214015960693359375,30449031.49925363063812255859375
strategy.optPutToSellDelta=-0.17500000000000002_strategy.optPutToBuyDelta=-0.06999999999999999_strategy.optimalDTE=20,23105551.2139222510159015655517578125,3745.1831914382064496749080717563629150390625,25865983.68354691565036773681640625
