Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses,AveragePLPercent
2005-04-06 00:00:00,1184.07,1018108.221867249999938787040,1008358.221867249999938787040,1,65,306150.0,-12.392380000000001,18,7,52.27272727272727272727272727
2005-04-07 00:00:00,1191.14,1027930.872645249999955519014,1024035.872645249999955519014,1,41,152930.00,-9.025207,19,7,55.68181818181818181818181818
2005-04-08 00:00:00,1181.2,1007051.704390249999967688053,1023644.204390249999967688053,2,151,438792.500,-45.212726999999994,19,7,nan
2005-04-11 00:00:00,1181.21,1017665.340973249999965810629,1023622.840973249999965810629,3,157,463152.500,-43.759316,19,7,nan
2005-04-12 00:00:00,1187.76,1027482.840973249999965810629,1023622.840973249999965810629,3,157,472970.000,-36.092813,19,7,nan
2005-04-13 00:00:00,1173.79,998945.340973249999965810629,1023622.840973249999965810629,3,157,444432.500,-54.759907999999996,19,7,nan
2005-04-14 00:00:00,1162.05,957635.719375249999966159818,1023615.719375249999966159818,4,159,407685.00,-77.38224199999999,19,7,nan
2005-04-15 00:00:00,1142.62,906222.229311249999965882649,1023587.229311249999965882649,5,167,378080.00,-118.28975000000003,19,7,nan
2005-04-18 00:00:00,1145.98,928004.800148249999963256938,1023562.300148249999963256938,6,174,425997.500,-108.94069500000002,19,7,nan
2005-04-19 00:00:00,1152.78,955302.300148249999963256938,1023562.300148249999963256938,6,174,453295.00,-90.396497,19,7,nan
2005-04-20 00:00:00,1137.5,894487.300148249999963256938,1023562.300148249999963256938,6,174,392480.00,-128.267777,19,7,nan
2005-04-21 00:00:00,1159.95,987506.144721249999961942832,1025121.144721249999961942832,5,167,457830.00,-72.60031699999999,21,7,57.1393762183235867446393762
2005-04-22 00:00:00,1152.12,955836.144721249999961942832,1025121.144721249999961942832,5,167,426160.00,-89.587496,21,7,nan
2005-04-25 00:00:00,1162.1,993659.5639307499999406392260,993617.0639307499999406392260,1,1,2342.500,-0.19386199999999998,22,11,-25.81702158511406681718687238
2005-04-26 00:00:00,1151.74,986868.5483297499999368884698,993328.5483297499999368884698,2,82,292300.0,-25.503808000000003,22,11,nan
2005-04-27 00:00:00,1156.38,992230.9830577499999295643090,993210.9830577499999295643090,3,115,446610.00,-32.257545,22,11,nan
2005-04-28 00:00:00,1143.22,968915.9830577499999295643090,993210.9830577499999295643090,3,115,423295.00,-44.05224,22,11,nan
2005-04-29 00:00:00,1156.85,988808.8587567499999295694818,993203.8587567499999295694818,4,117,452365.000,-33.336650999999996,22,11,nan
2005-05-02 00:00:00,1162.16,998710.7402697499999295605005,993620.7402697499999295605005,3,115,452680.00,-28.350549,23,11,50.60240963855421686746987952
2005-05-03 00:00:00,1161.17,1000410.740269749999929560500,993620.7402697499999295605005,3,115,454380.0,-27.670524,23,11,nan
2005-05-04 00:00:00,1175.65,1014475.230325749999928275356,1001920.230325749999928275356,1,81,309015.00,-14.24304,25,11,51.1352040816326530612244898
2005-05-05 00:00:00,1172.63,1011848.980948749999918545582,1001731.480948749999918545582,2,134,451400.0,-29.235132999999998,25,11,nan
2005-05-06 00:00:00,1171.35,1010225.419588749999918464438,1001727.919588749999918464438,3,135,453460.0,-30.215262999999997,25,11,nan
2005-05-09 00:00:00,1178.84,1018696.639454749999914584534,1015574.139454749999914584534,2,54,151625.00,-11.907741,26,11,50.73529411764705882352941176
2005-05-10 00:00:00,1166.22,993758.851138749999905686038,1015178.851138749999905686038,3,165,432055.00,-59.60635,26,11,nan
2005-05-11 00:00:00,1171.11,1006086.045103749999907849499,1015161.045103749999907849499,4,170,458150.00,-52.888123,26,11,nan
2005-05-12 00:00:00,1159.36,976336.045103749999907849499,1015161.045103749999907849499,4,170,428400.0,-71.831724,26,11,nan
2005-05-13 00:00:00,1154.05,968950.361482749999907371218,1015150.361482749999907371218,5,173,429305.00,-79.98575699999999,26,11,nan
2005-05-16 00:00:00,1165.69,1002484.299918749999907197078,1015146.799918749999907197078,6,174,466512.500,-59.40038299999999,26,11,nan
