symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00091000,8/8/14,91,P,A,0.04,0.03,0.035,0,0.416365,7667,16490,94.48,,,-0.041538,0.004394,0.043152,-0.091459,-0.000108
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00092000,8/8/14,92,C,A,2.64,2.4,2.52,0,0.324085,523,758,94.48,,,0.942579,0.005691,0.071807,-0.092604,0.002371
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00092000,8/8/14,92,P,A,0.06,0.04,0.05,0,0.341265,4859,18355,94.48,,,-0.067028,0.006421,0.07694,-0.109542,-0.000175
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00093000,8/8/14,93,C,A,1.68,1.48,1.58,0,0.280974,2765,1028,94.48,,,0.860199,0.010996,0.160029,-0.154837,0.002183
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00093000,8/8/14,93,P,A,0.12,0.11,0.115,0,0.294594,9122,19102,94.48,,,-0.150679,0.011615,0.161047,-0.170843,-0.000375
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00094000,8/8/14,94,C,A,0.73,0.7,0.715,0,0.220066,17695,9518,94.48,,,0.673041,0.017843,0.331526,-0.196604,0.001723
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00094000,8/8/14,94,P,A,0.3,0.27,0.285,0,0.24795,27860,16587,94.48,,,-0.344642,0.018525,0.301741,-0.226696,-0.000834
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00095000,8/8/14,95,C,A,0.24,0.23,0.235,0,0.226273,40986,17617,94.48,,,0.323788,0.017772,0.321148,-0.201196,0.000832
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00095000,8/8/14,95,P,A,0.85,0.79,0.82,0,0.262544,27457,12553,94.48,,,-0.65255,0.018268,0.284519,-0.239537,-0.001712
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00096000,8/8/14,96,C,A,0.07,0.06,0.065,0,0.247669,49361,28765,94.48,,,0.110416,0.009324,0.15394,-0.11551,0.000284
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00096000,8/8/14,96,P,A,1.69,1.57,1.63,0,0.290921,14508,9149,94.48,,,-0.851214,0.011449,0.161676,-0.166961,-0.001799
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00097000,8/8/14,97,C,A,0.03,0.02,0.025,0,0.291207,21137,25742,94.48,,,0.042805,0.004502,0.063217,-0.065571,0.00011
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00097000,8/8/14,97,P,A,2.61,2.37,2.49,0,0.291207,3241,9694,94.48,,*,-0.957195,0.004502,0.063217,-0.065144,-0.002547
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00098000,8/8/14,98,C,A,0.02,0.01,0.015,0,0.291207,8605,29378,94.48,,*,0.00838,0.001129,0.015855,-0.016444,0.000022
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00098000,8/8/14,98,P,A,3.7,3.5,3.6,0,0.291207,1297,5783,94.48,,*,-0.99207,0.001222,0.015285,-0.015422,-0.001116
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00099000,8/8/14,99,C,A,0.01,0,0,0,0.291207,2059,16815,94.48,,*,0.001114,0.000184,0.002582,-0.002678,0.000003
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00099000,8/8/14,99,P,A,4.7,4.5,4.6,0,0.291207,730,5061,94.48,,*,-0.999095,0.000183,0.002409,-0.002063,-0.000262
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00100000,8/8/14,100,C,A,0.01,0,0,0,0.291207,448,14444,94.48,,*,0.000101,0.00002,0.000277,-0.000287,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808P00100000,8/8/14,100,P,A,5.7,5.45,5.575,0,0.291207,304,3167,94.48,,*,-1,0,0,0,0
AAPL,NASDAQ,APPLE INC,8/7/14,94.48,AAPL  140808C00101000,8/8/14,101,C,A,0.01,0,0,0,0.291207,208,7156,94.48,,*,0.000006,0.000001,0.00002,-0.00002,0
