symbol,exchange,company_name,date,stock_price_close,option_symbol,option_expiration,strike,call/put,style,ask,bid,mean_price,settlement,iv,volume,open_interest,stock_price_for_iv,forward_price,isinterpolated,delta,vega,gamma,theta,rho
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01250000,01/07/2011,1250.0,C,E,21.7,20.3,21.0,0.0,0.171471,8,613,1271.87,1271.629,*,0.8324600000000001,0.33348099999999997,0.010971,-0.664366,0.113436
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01250000,01/07/2011,1250.0,P,E,2.25,1.85,2.05,0.0,0.171471,498,809,1271.87,1271.629,,-0.167321,0.33348099999999997,0.010971,-0.724862,-0.023546
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01255000,01/07/2011,1255.0,C,E,17.5,16.3,16.9,0.0,0.080589,79,537,1271.87,1271.629,,0.940939,0.156195,0.010933,-0.10043400000000001,0.129299
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01255000,01/07/2011,1255.0,P,E,3.1,2.6,2.85,0.0,0.166191,377,48,1271.87,1271.629,,-0.222002,0.39624699999999996,0.013449000000000001,-0.8365360000000001,-0.031256
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01260000,01/07/2011,1260.0,C,E,13.5,12.4,12.95,0.0,0.09819,125,2602,1271.87,1271.629,,0.8154640000000001,0.354559,0.020368999999999998,-0.385866,0.11224300000000001
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01260000,01/07/2011,1260.0,P,E,4.2,3.7,3.95,0.0,0.161427,1324,3684,1271.87,1271.629,,-0.29038400000000003,0.455992,0.015934,-0.937615,-0.040908
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01265000,01/07/2011,1265.0,C,E,9.9,9.0,9.45,0.0,0.104094,189,39,1271.87,1271.629,,0.686032,0.47211800000000004,0.025584,-0.572836,0.094586
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01265000,01/07/2011,1265.0,P,E,5.7,5.2,5.45,0.0,0.157626,250,34,1271.87,1271.629,,-0.372517,0.503742,0.018027,-1.014977,-0.052520000000000004
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01270000,01/07/2011,1270.0,C,E,6.9,6.2,6.55,0.0,0.107378,811,229,1271.87,1271.629,,0.547491,0.527271,0.027699,-0.674628,0.075593
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01270000,01/07/2011,1270.0,P,E,7.5,7.2,7.35,0.0,0.153348,317,1,1271.87,1271.629,,-0.46489300000000006,0.529012,0.019459999999999998,-1.042041,-0.065604
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01275000,01/07/2011,1275.0,C,E,4.6,3.9,4.25,0.0,0.108694,1256,895,1271.87,1271.629,,0.41012,0.5175489999999999,0.026858999999999997,-0.678395,0.056698
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01275000,01/07/2011,1275.0,P,E,10.7,9.7,10.2,0.0,0.158099,414,0,1271.87,1271.629,,-0.560167,0.524981,0.018731,-1.071223,-0.079196
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107C01280000,01/07/2011,1280.0,C,E,2.8,2.35,2.575,0.0,0.10940799999999999,1391,1559,1271.87,1271.629,,0.285236,0.45215600000000006,0.023312,-0.601136,0.039475
SPX,CBOE,S&P 500 Index (SPX),01/03/2011,1271.87,SPXW  110107P01280000,01/07/2011,1280.0,P,E,14.1,13.1,13.6,0.0,0.164929,171,0,1271.87,1271.629,,-0.6446930000000001,0.49566400000000005,0.016953,-1.060676,-0.09135
